url,status
https://aws.amazon.com/ru/devops/what-is-devops/?nc1=h_ls,200
https://qarea.com/blog/using-microservices-architecture-to-break-your-vendor-lock-in,200
https://qarea.com/blog/microservices-please-do,200
https://qarea.com/blog/qarea-is-a-finalist-of-the-devops-industry-awards,200
https://marketanalysis.com/devops-microservice-ecosystem/,200
url,status
https://aws.amazon.com/ru/devops/what-is-devops/?nc1=h_ls,200
https://qarea.com/blog/qarea-is-a-finalist-of-the-devops-industry-awards,200
https://qarea.com/blog/microservices-please-do,200
https://qarea.com/blog/using-microservices-architecture-to-break-your-vendor-lock-in,200
https://marketanalysis.com/devops-microservice-ecosystem/,200
