pub_date,post_title,post_url,link_url,link_text
"September 10, 2019",Who Runs Microservices? Devops,https://qarea.com/blog/who-runs-microservices-devops,https://qarea.com/blog/microservices-please-do,Microservices development
"September 10, 2019",Who Runs Microservices? Devops,https://qarea.com/blog/who-runs-microservices-devops,https://qarea.com/blog/using-microservices-architecture-to-break-your-vendor-lock-in,microservices architecture
"September 10, 2019",Who Runs Microservices? Devops,https://qarea.com/blog/who-runs-microservices-devops,https://aws.amazon.com/ru/devops/what-is-devops/?nc1=h_ls,AWS defines DevOps
"September 10, 2019",Who Runs Microservices? Devops,https://qarea.com/blog/who-runs-microservices-devops,https://www.marketanalysis.com/?p=63,industry analysis
"September 10, 2019",Who Runs Microservices? Devops,https://qarea.com/blog/who-runs-microservices-devops,https://qarea.com/blog/qarea-is-a-finalist-of-the-devops-industry-awards,DevOps for microservices
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://qarea.com/industries/medicine-and-healthcare,healthcare industry
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://qarea.com/services/custom-software-development,software development
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.greenwayhealth.com/prime-suite,Prime Suite
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.eclinicalworks.com/,eClinicalWorks
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.softclinicsoftware.com/,SoftClinic
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.instahealthsolutions.com/,Practo Insta
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.curemd.com/,CureMD
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://eyecareleaders.com/io-practiceware/electronic-health-records/,IO Practiceware
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.deskera.com/,Deskera
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.docengage.in/,DocEngage
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.drchrono.com/,DrChrono
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.drfirst.com/,DrFirst
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.uptodate.com/home/uptodate-subscription-options-clinicians,UpToDate 
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.isabelhealthcare.com/,Isabel Healthcare
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.epocrates.com/,Epocrates
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.medscape.com/,Medscape
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.vivifyhealth.com/,Vivify Health
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,http://www.medteryx.com/,Medteryx
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.capzule.com/,Capzule PHR
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.apple.com/ios/health/,Apple’s Health
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,http://mrpillster.whisperarts.com/,Mr. Pillster
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.mytherapyapp.com/,MyTherapy
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.beachbodyondemand.com/,Beachbody on Demand
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://www.myfitnesspal.com/ru/,MyFitnessPal
"October 8, 2019",Top Healthcare Apps,https://qarea.com/blog/top-mobile-and-web-healthcare-applications,https://qarea.com/contact-us,contact us
"October 28, 2019",QArea is Going on the Road Again (Norway & Denmark),https://qarea.com/qarea-is-going-on-the-road-again-norway-denmark,https://qarea.com/meet-us/ibm-think-summit-in-oslo,here
"October 28, 2019",QArea is Going on the Road Again (Norway & Denmark),https://qarea.com/qarea-is-going-on-the-road-again-norway-denmark,https://qarea.com/meet-us/healthtech-nordic-conference-and-our-partners-in-copenhagen,here
"November 12, 2019",QArea is Listed among the Top Mobile Development Companies by Techreviewer,https://qarea.com/blog/qarea-is-listed-among-the-top-mobile-development-companies-by-techreviewer,https://techreviewer.co/top-30-mobile-development-companies-in-2019/,Top 30+ Mobile Development Companies in 2019
"November 12, 2019",QArea is Listed among the Top Mobile Development Companies by Techreviewer,https://qarea.com/blog/qarea-is-listed-among-the-top-mobile-development-companies-by-techreviewer,https://qarea.com/projects/the-huffington-post,The Huffington Post
"November 12, 2019",QArea is Listed among the Top Mobile Development Companies by Techreviewer,https://qarea.com/blog/qarea-is-listed-among-the-top-mobile-development-companies-by-techreviewer,https://qarea.com/projects/dashlane,Dashlane
"November 12, 2019",QArea is Listed among the Top Mobile Development Companies by Techreviewer,https://qarea.com/blog/qarea-is-listed-among-the-top-mobile-development-companies-by-techreviewer,https://qarea.com/projects/skype-click-call,Skype
"November 12, 2019",QArea is Listed among the Top Mobile Development Companies by Techreviewer,https://qarea.com/blog/qarea-is-listed-among-the-top-mobile-development-companies-by-techreviewer,https://qarea.com/projects,projects
"October 30, 2019",The 8 Banking CRM Features Every Bank Should Have Enabled,https://qarea.com/blog/the-8-banking-crm-features-every-bank-should-have-enabled,https://www.slideshare.net/Salesforce/the-future-of-sales-109140449,59% of customers
"October 30, 2019",The 8 Banking CRM Features Every Bank Should Have Enabled,https://qarea.com/blog/the-8-banking-crm-features-every-bank-should-have-enabled,https://www.softwareadvice.com/resources/crm-trends-2019/,not satisfied with their CRM
"October 30, 2019",The 8 Banking CRM Features Every Bank Should Have Enabled,https://qarea.com/blog/the-8-banking-crm-features-every-bank-should-have-enabled,https://www.softwareadvice.com/resources/crm-trends-2019/,94% of customers
"October 30, 2019",The 8 Banking CRM Features Every Bank Should Have Enabled,https://qarea.com/blog/the-8-banking-crm-features-every-bank-should-have-enabled,https://selecthub.com/customer-relationship-management/crm-helps-improve-sales/,to optimize the sales process
"October 30, 2019",The 8 Banking CRM Features Every Bank Should Have Enabled,https://qarea.com/blog/the-8-banking-crm-features-every-bank-should-have-enabled,https://qarea.com/industries/banking-finance,banking
"October 30, 2019",The 8 Banking CRM Features Every Bank Should Have Enabled,https://qarea.com/blog/the-8-banking-crm-features-every-bank-should-have-enabled,https://qarea.com/industries/banking-finance,Financial software
"October 31, 2019",Top Software Outsourcing Companies in Ukraine in 2019,https://qarea.com/blog/top-software-outsourcing-companies-in-ukraine-in-2019,https://qarea.com/services/outsourcing-development,software outsourcing
"October 31, 2019",Top Software Outsourcing Companies in Ukraine in 2019,https://qarea.com/blog/top-software-outsourcing-companies-in-ukraine-in-2019,https://qarea.com/services,development services
"October 31, 2019",Top Software Outsourcing Companies in Ukraine in 2019,https://qarea.com/blog/top-software-outsourcing-companies-in-ukraine-in-2019,https://qarea.com/,QArea
"November 6, 2019","What is the Difference Between Onshore, Offshore and Nearshore Outsourcing?",https://qarea.com/blog/what-is-the-difference-between-onshore-offshore-and-nearshore-outsourcing,https://qarea.com/,Outsourcing software development
"November 6, 2019","What is the Difference Between Onshore, Offshore and Nearshore Outsourcing?",https://qarea.com/blog/what-is-the-difference-between-onshore-offshore-and-nearshore-outsourcing,https://qarea.com/blog/benefits-of-offshore-outsourcing,offshore outsourcing
"November 6, 2019","What is the Difference Between Onshore, Offshore and Nearshore Outsourcing?",https://qarea.com/blog/what-is-the-difference-between-onshore-offshore-and-nearshore-outsourcing,https://qarea.com/services,software development
"November 14, 2019",QArea Recognized Among Top Business Service Providers by Clutch,https://qarea.com/blog/qarea-recognized-among-top-business-service-providers-by-clutch,https://qarea.com/services/web-development,web development
"November 14, 2019",QArea Recognized Among Top Business Service Providers by Clutch,https://qarea.com/blog/qarea-recognized-among-top-business-service-providers-by-clutch,https://qarea.com/blog/clutch-has-listed-qarea-among-the-top-wordpress-and-drupal-developers,this year
"November 14, 2019",QArea Recognized Among Top Business Service Providers by Clutch,https://qarea.com/blog/qarea-recognized-among-top-business-service-providers-by-clutch,https://qarea.com/blog/qarea-recognized-among-the-top-it-outsourcing-companies-by-clutch,in 2017
"November 14, 2019",QArea Recognized Among Top Business Service Providers by Clutch,https://qarea.com/blog/qarea-recognized-among-top-business-service-providers-by-clutch,https://qarea.com/blog/qarea-leads-top-software-companies,in 2015
"November 14, 2019",QArea Recognized Among Top Business Service Providers by Clutch,https://qarea.com/blog/qarea-recognized-among-top-business-service-providers-by-clutch,https://qarea.com/projects/the-huffington-post,The Huffington Post
"November 14, 2019",QArea Recognized Among Top Business Service Providers by Clutch,https://qarea.com/blog/qarea-recognized-among-top-business-service-providers-by-clutch,https://qarea.com/projects/kroodle,Kroodle
"November 14, 2019",QArea Recognized Among Top Business Service Providers by Clutch,https://qarea.com/blog/qarea-recognized-among-top-business-service-providers-by-clutch,https://qarea.com/projects/skype-click-call,Skype
"November 14, 2019",QArea Recognized Among Top Business Service Providers by Clutch,https://qarea.com/blog/qarea-recognized-among-top-business-service-providers-by-clutch,https://qarea.com/testimonials,is appreciated
